Timestamp,Voltage (V)
14:30:16.358,0.0000
14:30:16.504,0.0000
14:30:16.763,0.0000
14:30:17.024,0.0000
14:30:17.286,0.0000
14:30:17.547,0.0000
14:30:17.808,0.0000
14:30:18.069,0.0000
14:30:18.330,0.0000
14:30:18.592,0.0000
14:30:18.853,0.0000
14:30:19.116,0.0000
14:30:19.375,0.0000
14:30:19.636,0.0000
14:30:19.898,0.0000
14:30:20.159,0.0000
14:30:20.420,0.0000
14:30:20.681,0.0000
14:30:20.943,0.0000
14:30:21.204,0.0000
14:30:21.466,0.0000
14:30:21.728,0.0000
14:30:21.988,0.0000
14:30:22.249,0.0000
14:30:22.510,0.0000
14:30:22.771,0.0000
14:30:23.032,0.0000
14:30:23.294,0.0000
14:30:23.555,0.0000
14:30:23.816,0.0000
14:30:24.077,0.0000
14:30:24.338,0.0000
14:30:24.599,0.0000
14:30:24.861,0.0000
14:30:25.122,0.0000
14:30:25.383,0.0000
14:30:25.644,0.0000
14:30:25.906,0.0000
14:30:26.167,0.0000
14:30:26.428,0.0000
14:30:26.689,0.0000
14:30:26.950,0.0000
14:30:27.212,0.0000
14:30:27.474,0.0000
14:30:27.734,0.0000
14:30:27.996,0.0000
14:30:28.257,0.0000
14:30:28.518,0.0000
14:30:28.778,0.0000
14:30:29.039,0.0000
14:30:29.300,0.0000
14:30:29.561,0.0000
14:30:29.823,0.0000
14:30:30.084,0.0000
14:30:30.345,0.0000
14:30:30.606,0.0000
14:30:30.868,0.0000
14:30:31.129,0.0000
14:30:31.390,0.0000
14:30:31.651,0.0000
14:30:31.912,0.0000
14:30:32.173,0.0000
14:30:32.435,0.0000
14:30:32.696,0.0000
14:30:32.957,0.0000
14:30:33.218,0.0000
14:30:33.480,0.0000
14:30:33.741,0.0000
14:30:34.003,0.0000
14:30:34.263,0.0000
14:30:34.527,0.0000
14:30:34.785,0.0000
14:30:35.046,0.0000
14:30:35.307,0.0000
14:30:35.569,0.0000
14:30:35.830,0.0000
14:30:36.091,0.0000
14:30:36.352,0.0000
14:30:36.613,0.0000
14:30:36.875,0.0000
14:30:37.136,0.0000
14:30:37.397,0.0000
14:30:37.659,0.0000
14:30:37.919,0.0000
14:30:38.181,0.0000
14:30:38.442,0.0000
14:30:38.703,0.0000
14:30:38.964,0.0000
14:30:39.225,0.0000
14:30:39.487,0.0000
14:30:39.749,0.0000
14:30:40.009,0.0000
14:30:40.272,0.0000
14:30:40.532,0.0000
14:30:40.793,0.0000
14:30:41.054,0.0000
14:30:41.315,0.0000
14:30:41.576,0.0000
14:30:41.838,0.0000
14:30:42.099,0.0000
14:30:42.359,0.0000
14:30:42.621,0.0000
14:30:42.882,0.0000
14:30:43.143,0.0000
14:30:43.404,0.0000
14:30:43.666,0.0000
14:30:43.927,0.0000
14:30:44.188,0.0000
14:30:44.449,0.0000
14:30:44.710,0.0000
14:30:44.971,1.5365
14:30:45.233,3.8242
14:30:45.494,4.2109
14:30:45.755,4.2258
14:30:46.016,4.1084
14:30:46.277,3.8023
14:30:46.539,4.1355
14:30:46.799,4.2181
14:30:47.062,4.2218
14:30:47.322,4.2197
14:30:47.583,4.2356
14:30:47.845,1.6204
14:30:48.105,0.0000
14:30:48.366,0.0000
14:30:48.628,0.0000
14:30:48.889,0.0000
14:30:49.150,0.0000
14:30:49.411,0.0000
14:30:49.672,0.0000
14:30:49.934,0.0000
14:30:50.195,2.3337
14:30:50.456,3.8150
14:30:50.717,4.1490
14:30:50.978,4.2202
14:30:51.239,4.2314
14:30:51.500,4.2335
14:30:51.762,4.2244
14:30:52.023,4.2892
14:30:52.284,4.3226
14:30:52.545,4.3536
14:30:52.807,4.3537
14:30:53.067,4.3534
14:30:53.329,4.3269
14:30:53.591,2.6211
14:30:53.852,0.0000
14:30:54.113,0.0000
14:30:54.375,0.0000
14:30:54.635,2.3678
14:30:54.896,1.2089
14:30:55.157,0.0000
14:30:55.419,0.0000
14:30:55.680,0.0000
14:30:55.940,0.0000
14:30:56.202,0.0000
14:30:56.463,0.0000
14:30:56.724,0.0000
14:30:56.985,0.0000
14:30:57.246,1.7084
14:30:57.507,1.1034
14:30:57.768,0.0000
14:30:58.030,0.0000
14:30:58.291,0.0000
14:30:58.552,0.0000
14:30:58.813,0.0000
14:30:59.075,0.0000
14:30:59.335,1.0646
14:30:59.596,1.8453
14:30:59.858,2.4469
14:31:00.119,2.1132
14:31:00.380,3.2169
14:31:00.641,4.1828
14:31:00.903,4.2395
14:31:01.163,4.2873
14:31:01.425,4.3251
14:31:01.687,4.3085
14:31:01.947,4.2637
14:31:02.208,3.7556
14:31:02.470,0.9481
14:31:02.731,0.0000
14:31:02.992,0.0000
14:31:03.253,0.0000
14:31:03.515,1.3496
14:31:03.776,3.9771
14:31:04.036,4.1894
14:31:04.298,4.1908
14:31:04.559,4.2363
14:31:04.820,4.2950
14:31:05.082,4.3080
14:31:05.343,4.2913
14:31:05.604,4.2076
14:31:05.865,2.4846
14:31:06.126,0.0000
14:31:06.387,0.5598
14:31:06.648,3.1338
14:31:06.910,3.3997
14:31:07.172,3.4701
14:31:07.432,3.5091
14:31:07.693,3.5280
14:31:07.955,2.8393
14:31:08.216,2.6273
14:31:08.476,2.1959
14:31:08.738,2.0915
14:31:08.999,2.2112
14:31:09.260,1.9855
14:31:09.522,1.5326
14:31:09.783,1.4943
14:31:10.044,1.5109
14:31:10.305,2.6613
14:31:10.567,3.9089
14:31:10.827,4.1376
14:31:11.088,4.1429
14:31:11.349,4.1755
14:31:11.611,4.2068
14:31:11.872,2.8969
14:31:12.133,0.0000
14:31:12.395,0.0000
14:31:12.656,0.0000
14:31:12.918,0.0000
14:31:13.179,0.0000
14:31:13.439,0.0000
14:31:13.702,0.0000
14:31:13.963,0.0000
14:31:14.224,0.0000
14:31:14.484,0.0000
14:31:14.745,0.0000
14:31:15.007,0.0000
14:31:15.267,0.0000
14:31:15.528,0.0000
14:31:15.790,0.0000
14:31:16.051,0.0000
14:31:16.312,0.0000
14:31:16.573,0.0000
14:31:16.834,0.0000
14:31:17.096,0.0000
14:31:17.357,0.0000
14:31:17.618,0.0000
14:31:17.879,0.0000
14:31:18.140,0.0000
14:31:18.401,0.0000
14:31:18.663,0.0000
14:31:18.924,0.0000
14:31:19.185,0.0000
14:31:19.446,0.0000
14:31:19.708,0.0000
14:31:19.969,0.0000
14:31:20.230,0.0000
14:31:20.491,0.0000
14:31:20.752,0.0000
